Date,price
2010-03-26,87.82649230957031
2010-03-29,88.384033203125
2010-03-30,88.44429016113281
2010-03-31,88.14293670654297
2010-04-01,88.74562072753906
2010-04-05,89.46880340576172
2010-04-06,89.67976379394531
2010-04-07,89.16748809814453
2010-04-08,89.47638702392578
2010-04-09,90.0639877319336
2010-04-12,90.20716094970703
2010-04-13,90.2749252319336
2010-04-14,91.29949951171875
2010-04-15,91.37481689453125
2010-04-16,89.92085266113281
2010-04-19,90.25984954833984
2010-04-20,91.06596374511719
2010-04-21,90.90019989013672
2010-04-22,91.17144775390625
2010-04-23,91.76659393310547
2010-04-26,91.4200439453125
2010-04-27,89.25787353515625
2010-04-28,89.93592071533203
2010-04-29,91.05089569091797
2010-04-30,89.50652313232422
2010-05-03,90.66670989990234
2010-05-04,88.53470611572266
2010-05-05,88.0073013305664
2010-05-06,85.08431243896484
2010-05-07,83.81868743896484
2010-05-10,87.51010131835938
2010-05-11,87.26150512695312
2010-05-12,88.48194122314453
2010-05-13,87.3820571899414
2010-05-14,85.79998016357422
2010-05-17,85.84516906738281
2010-05-18,84.6774673461914
2010-05-19,84.19532775878906
2010-05-20,81.0161361694336
2010-05-21,82.19892120361328
2010-05-24,81.14420318603516
2010-05-25,81.22710418701172
2010-05-26,80.73738861083984
2010-05-27,83.44198608398438
2010-05-28,82.39481353759766
2010-06-01,81.00861358642578
2010-06-02,83.1180648803711
2010-06-03,83.404296875
2010-06-04,80.47372436523438
2010-06-07,79.47178649902344
2010-06-08,80.32306671142578
2010-06-09,79.89366149902344
2010-06-10,82.22905731201172
2010-06-11,82.62834930419922
2010-06-14,82.50028228759766
2010-06-15,84.37614440917969
2010-06-16,84.34600067138672
2010-06-17,84.4815902709961
2010-06-18,84.57318878173828
2010-06-21,84.33096313476562
2010-06-22,82.93821716308594
2010-06-23,82.68082427978516
2010-06-24,81.31077575683594
2010-06-25,81.6513900756836
2010-06-28,81.39403533935547
2010-06-29,78.88099670410156
2010-06-30,78.13162231445312
2010-07-01,77.7834243774414
2010-07-02,77.35955047607422
2010-07-06,77.86668395996094
2010-07-07,80.3191909790039
2010-07-08,81.11394500732422
2010-07-09,81.71955108642578
2010-07-12,81.77254486083984
2010-07-13,83.00631713867188
2010-07-14,82.99876403808594
